,scc,p
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii_0,-833.0,0.0033605309420959963
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_0,-817.0,0.004304113389809974
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae_0,-817.0,0.004304113389809974
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales_0,-817.0,0.004304113389809974
k__Archaea;p__Euryarchaeota;c__Methanobacteria_0,-817.0,0.004304113389809974
k__Archaea;p__Euryarchaeota_0,-817.0,0.004304113389809974
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus_SGB14899_0,-887.0,0.0020895824987464937
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus_0,-887.0,0.0020895824987464937
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Nitrosopumilales;f__Nitrosopumilaceae_0,-887.0,0.0020895824987464937
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified;o__Nitrosopumilales_0,-887.0,0.0020895824987464937
k__Archaea;p__Thaumarchaeota;c__Thaumarchaeota_unclassified_0,-887.0,0.0020895824987464937
k__Archaea;p__Thaumarchaeota_0,-887.0,0.004304113389809974
k__Archaea_0,-1246.0,0.00013115412696661251
k__Bacteria_0,1218.5,0.0007206735107052507
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum_0,-837.5,0.017960960305658264
