,scc,p
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium_0,-1021.0,0.00817509394761392
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae_0,-1105.0,0.0043044879792324625
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales_0,-1105.0,0.0043044879792324625
k__Bacteria;p__Actinobacteria;c__Actinomycetia_0,-1385.0,0.0004203952747509659
k__Bacteria;p__Actinobacteria;c__CFGB12107;o__OFGB12107;f__FGB12107;g__GGB34797_0,-463.0,0.0298738737378353
k__Bacteria;p__Actinobacteria;c__CFGB12107;o__OFGB12107;f__FGB12107_0,-463.0,0.0298738737378353
k__Bacteria;p__Actinobacteria;c__CFGB12107;o__OFGB12107_0,-463.0,0.0298738737378353
k__Bacteria;p__Actinobacteria;c__CFGB12107_0,-463.0,0.0298738737378353
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_SGB4121_0,-1042.0,0.0040854131593840385
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_aerofaciens_0,-1157.5,0.003287565732916774
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella_0,-1597.0,9.19371314657383e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae_0,-1675.0,3.829776343933927e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales_0,-1658.0,4.608052260646931e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia_equolifaciens_0,-1357.0,1.0730542419794855e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia_0,-1357.0,1.0730542419794855e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella_lenta_0,-997.0,0.0020707143787129017
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella_0,-1100.0,0.0007081642492591155
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter_pamelaeae_0,-740.0,0.0020707143787129017
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter_0,-1012.5,0.0001410412282276504
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae_0,-1707.0,8.961178470745367e-06
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales_0,-1707.0,8.961178470745367e-06
k__Bacteria;p__Actinobacteria;c__Coriobacteriia_0,-1724.0,2.452055734542487e-05
k__Bacteria;p__Actinobacteria_0,-1623.0,7.645144414368834e-05
k__Bacteria;p__Bacteria_unclassified;c__CFGB76763;o__OFGB76763;f__FGB76763;g__GGB79973;s__GGB79973_SGB14341_0,-979.0,0.001963422360921362
k__Bacteria;p__Bacteria_unclassified;c__CFGB76763;o__OFGB76763;f__FGB76763;g__GGB79973_0,-944.5,0.003175871455982078
k__Bacteria;p__Bacteria_unclassified;c__CFGB76763;o__OFGB76763;f__FGB76763_0,-944.5,0.003175871455982078
k__Bacteria;p__Bacteria_unclassified;c__CFGB76763;o__OFGB76763_0,-944.5,0.003175871455982078
k__Bacteria;p__Bacteria_unclassified;c__CFGB76763_0,-944.5,0.003175871455982078
k__Bacteria;p__Bacteria_unclassified_0,-885.0,0.007552771256200776
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_finegoldii_0,-1017.0,6.252921847413056e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis_0,-850.0,0.014636408849593642
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_intestinalis_0,-435.0,0.04906483440501592
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus_0,-1396.0,0.000336454284810099
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris_0,-1012.0,0.003805102561044481
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron_0,-904.0,0.019667180828806065
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis_0,-1375.0,0.0008086636776510991
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_0,-1533.0,0.0001967303241066182
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_dorei_0,-767.0,0.04130033955109126
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola_0,-914.0,0.0298738737378353
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae_0,-1285.0,0.0020707143787129017
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas_0,-746.0,0.027445597783729153
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae_0,-769.5,0.04222448258082125
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis_0,-988.0,0.012073848303523448
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_0,-1097.5,0.008432842017584196
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae_0,-1272.0,0.0021616811334559103
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_distasonis_0,-1017.0,0.010076699718559831
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_merdae_0,-747.0,0.047254376520213984
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_0,-1214.0,0.003175871455982078
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae_0,-1277.5,0.0018530536854975944
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales_0,-1196.5,0.00432652609406313
k__Bacteria;p__Bacteroidetes;c__Bacteroidia_0,-1196.5,0.00432652609406313
k__Bacteria;p__Bacteroidetes_0,1355.5,0.0011923032195729807
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4566;s__GGB4566_SGB6305_0,-554.0,0.023540984350435275
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4566_0,-554.0,0.023540984350435275
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4605_0,-412.5,0.04906483440501592
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae_0,-1141.0,0.0020537692197900885
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius_0,-986.0,0.0051697439726772895
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_thermophilus_0,-1179.0,0.0005655894694510771
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus_0,-1753.0,7.248579135587933e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae_0,-1793.0,5.209990653786304e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales_0,-1755.0,1.5768258891351562e-05
k__Bacteria;p__Firmicutes;c__Bacilli_0,-1760.0,1.4961887291971411e-05
k__Bacteria;p__Firmicutes;c__CFGB1011;o__OFGB1011;f__FGB1011;g__GGB2653;s__GGB2653_SGB3574_0,-697.0,0.027438566492196996
k__Bacteria;p__Firmicutes;c__CFGB1011;o__OFGB1011;f__FGB1011;g__GGB2653_0,-697.0,0.027438566492196996
k__Bacteria;p__Firmicutes;c__CFGB1011;o__OFGB1011;f__FGB1011_0,-669.5,0.03637978300331106
k__Bacteria;p__Firmicutes;c__CFGB1011;o__OFGB1011_0,-669.5,0.03637978300331106
k__Bacteria;p__Firmicutes;c__CFGB1011_0,-669.5,0.03637978300331106
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227;f__FGB1227;g__GGB3002;s__GGB3002_SGB3993_0,-348.0,0.03791759821465664
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227;f__FGB1227;g__GGB3002_0,-348.0,0.03791759821465664
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227;f__FGB1227;g__GGB3005;s__GGB3005_SGB3996_0,-748.0,0.008030619396811505
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227;f__FGB1227;g__GGB3005_0,-748.0,0.008030619396811505
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227;f__FGB1227_0,-1306.0,0.00019953222426460085
k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227_0,-1306.0,0.00019953222426460085
k__Bacteria;p__Firmicutes;c__CFGB1227_0,-1306.0,0.00019953222426460085
k__Bacteria;p__Firmicutes;c__CFGB1260;o__OFGB1260;f__FGB1260_0,-393.0,0.012487374512732118
k__Bacteria;p__Firmicutes;c__CFGB1260;o__OFGB1260_0,-393.0,0.012487374512732118
k__Bacteria;p__Firmicutes;c__CFGB1260_0,-393.0,0.012487374512732118
k__Bacteria;p__Firmicutes;c__CFGB1262;o__OFGB1262;f__FGB1262;g__GGB3061;s__GGB3061_SGB4063_0,-785.0,0.004214399143078588
k__Bacteria;p__Firmicutes;c__CFGB1262;o__OFGB1262;f__FGB1262;g__GGB3061_0,-785.0,0.004214399143078588
k__Bacteria;p__Firmicutes;c__CFGB1262;o__OFGB1262;f__FGB1262_0,-785.0,0.004214399143078588
k__Bacteria;p__Firmicutes;c__CFGB1262;o__OFGB1262_0,-785.0,0.004214399143078588
k__Bacteria;p__Firmicutes;c__CFGB1262_0,-785.0,0.004214399143078588
k__Bacteria;p__Firmicutes;c__CFGB1507;o__OFGB1507;f__FGB1507;g__GGB3819;s__GGB3819_SGB5184_0,-993.0,0.0004907866515145247
k__Bacteria;p__Firmicutes;c__CFGB1507;o__OFGB1507;f__FGB1507;g__GGB3819_0,-993.0,0.0004907866515145247
k__Bacteria;p__Firmicutes;c__CFGB1507;o__OFGB1507;f__FGB1507_0,-1257.0,0.00010679833097121414
k__Bacteria;p__Firmicutes;c__CFGB1507;o__OFGB1507_0,-1257.0,0.00010679833097121414
k__Bacteria;p__Firmicutes;c__CFGB1507_0,-1257.0,0.00010679833097121414
k__Bacteria;p__Firmicutes;c__CFGB3047;o__OFGB3047;f__FGB3047;g__GGB52130;s__GGB52130_SGB14966_0,-777.5,0.0014753442294586291
k__Bacteria;p__Firmicutes;c__CFGB3047;o__OFGB3047;f__FGB3047;g__GGB52130_0,-777.5,0.0014753442294586291
k__Bacteria;p__Firmicutes;c__CFGB3047;o__OFGB3047;f__FGB3047_0,-777.5,0.0014753442294586291
k__Bacteria;p__Firmicutes;c__CFGB3047;o__OFGB3047_0,-777.5,0.0014753442294586291
k__Bacteria;p__Firmicutes;c__CFGB3047_0,-777.5,0.0014753442294586291
k__Bacteria;p__Firmicutes;c__CFGB3068;o__OFGB3068;f__FGB3068;g__GGB9760;s__GGB9760_SGB15373_0,-833.0,0.0031263612618985777
k__Bacteria;p__Firmicutes;c__CFGB3068;o__OFGB3068;f__FGB3068;g__GGB9760;s__GGB9760_SGB15374_0,-737.5,0.003805102561044481
k__Bacteria;p__Firmicutes;c__CFGB3068;o__OFGB3068;f__FGB3068;g__GGB9760_0,-1206.0,0.00014471035941222079
k__Bacteria;p__Firmicutes;c__CFGB3068;o__OFGB3068;f__FGB3068_0,-1180.0,0.0002598404529836686
k__Bacteria;p__Firmicutes;c__CFGB3068;o__OFGB3068_0,-1180.0,0.0002598404529836686
k__Bacteria;p__Firmicutes;c__CFGB3068_0,-1180.0,0.0002598404529836686
k__Bacteria;p__Firmicutes;c__CFGB3069;o__OFGB3069;f__FGB3069;g__GGB9770;s__GGB9770_SGB15390_0,-640.5,0.03407091271615395
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070;g__GGB9512;s__GGB9512_SGB14909_0,-741.5,0.014788406539365537
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070;g__GGB9512_0,-741.5,0.014788406539365537
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070_0,-933.5,0.00457461753218773
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070_0,-933.5,0.00457461753218773
k__Bacteria;p__Firmicutes;c__CFGB3070_0,-933.5,0.00457461753218773
k__Bacteria;p__Firmicutes;c__CFGB4806;o__OFGB4806;f__FGB4806;g__GGB51647;s__GGB51647_SGB4348_0,-669.5,0.026147739122123887
k__Bacteria;p__Firmicutes;c__CFGB4806;o__OFGB4806;f__FGB4806;g__GGB51647_0,-669.5,0.026147739122123887
k__Bacteria;p__Firmicutes;c__CFGB4806;o__OFGB4806;f__FGB4806_0,-669.5,0.026147739122123887
k__Bacteria;p__Firmicutes;c__CFGB4806;o__OFGB4806_0,-669.5,0.026147739122123887
k__Bacteria;p__Firmicutes;c__CFGB4806_0,-669.5,0.026147739122123887
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Candidatus_Avimonas;s__Candidatus_Avimonas_narfia_0,-560.0,0.04852769007778234
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Candidatus_Avimonas_0,-560.0,0.04852769007778234
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Clostridia_unclassified;s__Clostridia_bacterium_0,-504.0,0.014225654789656551
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Clostridia_unclassified;s__Clostridia_bacterium_UC5_1_1D1_0,-862.0,0.001168609446515983
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Clostridia_unclassified_0,-1306.0,3.6022410120763144e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB2982;s__GGB2982_SGB3964_0,-1057.0,0.00013419040584559708
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB2982_0,-1057.0,0.00013419040584559708
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified_0,-2212.0,3.491673780421045e-08
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified_0,-2212.0,3.491673780421045e-08
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_unclassified;g__Lawsonibacter;s__Lawsonibacter_asaccharolyticus_0,-1568.5,3.598251166420961e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_unclassified;g__Lawsonibacter_0,-1568.5,3.598251166420961e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_unclassified_0,-1568.5,3.598251166420961e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Candidatus_Cibionibacter;s__Candidatus_Cibionibacter_quicibialis_0,-1539.0,0.00010679833097121414
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Candidatus_Cibionibacter_0,-1539.0,0.00010679833097121414
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae_0,-1539.0,0.00010679833097121414
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales_0,-1951.0,1.4497939977723325e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenella;s__Christensenella_hongkongensis_0,-319.0,0.04640092167455826
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium_0,-2526.0,4.513190027407755e-10
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified_0,-1643.5,5.5009511075380185e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_fessum_0,-1003.0,0.004612654326102152
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_saudiense_0,-523.0,0.019592707926006
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_1001270H_150608_G6_0,-776.0,0.0051697439726772895
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_AF34_10BH_0,-1862.0,6.536642195917972e-07
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_AF36_4_0,-1135.0,0.0007357055010984537
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_AM49_4BH_0,-1200.0,8.107796906113189e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_AT4_0,-706.0,0.013266326187083517
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium_0,-2393.0,4.756475275780966e-09
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3175;s__GGB3175_SGB4191_0,-620.0,0.0007919240203161557
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3175_0,-620.0,0.0007919240203161557
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae_0,-1928.0,2.3884473459441957e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_ramulus_0,-1094.0,0.0006919040311186605
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_sp_AF34_35BH_0,-398.5,0.04289828805746218
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis_0,-1186.0,0.0018071452818659306
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Eubacteriales_unclassified;s__Clostridiales_bacterium_0,-1131.0,0.0009741115977054261
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Eubacteriales_unclassified;s__Clostridiales_bacterium_KLE1615_0,-1306.0,0.0003919325987849036
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Eubacteriales_unclassified_0,-2104.0,1.2261113715053565e-07
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Evtepia;s__Evtepia_gabavorous_0,-1480.0,1.8593911783889543e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Evtepia_0,-1480.0,1.8593911783889543e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger;s__Gemmiger_SGB15295_0,-567.5,0.01723091868998948
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger;s__Gemmiger_formicilis_0,-1224.0,0.0008981082723294988
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger_0,-1499.0,8.879228442784815e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Intestinimonas_0,-763.0,0.02240056521987973
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Lawsonibacter;s__Lawsonibacter_sp_NSJ_51_0,-685.0,0.004479990858458964
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified_0,-1933.0,1.979769103290033e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum_hallii_0,-1619.0,3.074830914470138e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum_soehngenii_0,-862.0,0.011941382937039125
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum_0,-2065.0,2.0224605422789565e-07
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes_hadrus_0,-2052.5,2.3974062303895715e-07
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes_0,-2096.5,1.5627942274768293e-07
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerotignum;s__Anaerotignum_faecicola_0,-732.5,0.012317605065815057
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerotignum_0,-1128.0,0.00039944460338296294
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_SGB4815_0,-738.0,0.00806219639318191
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_caecimuris_0,-1304.0,7.872593020411364e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_faecis_0,-2441.0,1.786516070761932e-09
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_glucerasea_0,-651.5,0.020280024563756993
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_hydrogenotrophica_0,-555.0,0.00877652724247914
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_massiliensis_0,-1592.0,2.290882928142808e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_obeum_0,-2061.0,1.2483320485448757e-07
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_producta_0,-627.0,0.009428584659301515
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_wexlerae_0,-2363.0,4.813567594617419e-09
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia_0,-2295.5,1.6546473550799962e-08
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_catus_0,-1002.0,0.0018187146289843181
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus_0,-1040.0,0.008021353707333052
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_formicigenerans_0,-1534.0,3.598251166420961e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_longicatena_0,-1857.0,1.4497939977723325e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_phocaeensis_0,-424.0,0.02490627022784741
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea_sp_AF36_15AT_0,-745.0,0.013276002907269576
